Country or Area,Item,Year,Value
Kuwait,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.79
Latin America & Caribbean (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.01408316440254
Latin America & Caribbean (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.04150724589441
Latin America & Caribbean (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.2714610450071
Lao PDR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,0.64
Lao PDR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.62
Lao PDR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,0.95
Lebanon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.1
Lebanon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.04
Lebanon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.61
Liberia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.94
Liberia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.89
Liberia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.3
Libya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,18.46
Libya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,18.34
Libya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,19.39
St. Lucia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,19.29
St. Lucia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,15.59
St. Lucia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,17.13
Latin America & Caribbean,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.95634520867609
Latin America & Caribbean,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.98616672203364
Latin America & Caribbean,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.2801351542291
Least developed countries: UN classification,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.39613507717279
Least developed countries: UN classification,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.33507299753999
Least developed countries: UN classification,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.00762242611226
Low income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.66297818408605
Low income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.61349011747205
Low income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.10318049922879
Liechtenstein,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Liechtenstein,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Liechtenstein,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Sri Lanka,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.32
Sri Lanka,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.27
Sri Lanka,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.84
Lower middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.19110159383884
Lower middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.06907901875838
Lower middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.17511621852187
Low & middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.42547577037342
Low & middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.48965960134328
Low & middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.3861147352422
Lesotho,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,23.98
Lesotho,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,23.86
Lesotho,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,24.65
Late-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.03493006699848
Late-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.21907270991961
Late-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.9349211134036
Lithuania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.15
Lithuania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.26
Lithuania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.43
Luxembourg,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.59
Luxembourg,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.6
Luxembourg,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.96
Latvia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.41
Latvia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.31
Latvia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.19
"Macao SAR, China","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.8
"Macao SAR, China","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.7
"Macao SAR, China","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.5
St. Martin (French part),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
St. Martin (French part),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
St. Martin (French part),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.08
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.01
Morocco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.15
Monaco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Monaco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Monaco,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Moldova,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.11
Moldova,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.1
Moldova,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.71
Madagascar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.69
Madagascar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.67
Madagascar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,1.92
Maldives,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.9
Maldives,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.82
Maldives,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.18
Middle East & North Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.81297431356791
Middle East & North Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.5968271053253
Middle East & North Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.6343786054098
Mexico,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.28
Mexico,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.48
Mexico,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.71
Marshall Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Marshall Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Marshall Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.49846870418318
Middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.57517404215304
Middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.51537717898309
North Macedonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,20.74
North Macedonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,17.26
North Macedonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,18.4
Mali,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.31
Mali,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.24
Mali,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.5
Malta,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.66
Malta,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.4
Malta,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.09
Myanmar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,0.87
Myanmar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.5
Myanmar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,1.79
Middle East & North Africa (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,11.4950590873117
Middle East & North Africa (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.2144268587363
Middle East & North Africa (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.9045156747509
Montenegro,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,15.18
Montenegro,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,15.12
Montenegro,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,15.86
Mongolia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.38
Mongolia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.31
Mongolia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.33
Northern Mariana Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Northern Mariana Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Northern Mariana Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Mozambique,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.24
Mozambique,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.19
Mozambique,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.39
Mauritania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10.22
Mauritania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.13
Mauritania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.66
Mauritius,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.43
Mauritius,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.36
Mauritius,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.11
Malawi,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.62
Malawi,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.56
Malawi,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.99
Malaysia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.3
Malaysia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.31
Malaysia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.55
North America,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.11126989646469
North America,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.88949185783606
North America,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.4389468668727
Namibia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,19.88
Namibia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,19.75
Namibia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,20.35
New Caledonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,15.31
New Caledonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,15.45
New Caledonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,16.52
Niger,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,0.47
Niger,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.46
Niger,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,0.69
Nigeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.45
Nigeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.53
Nigeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.01
Nicaragua,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.2
Nicaragua,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.14
Nicaragua,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.82
Netherlands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.83
Netherlands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.38
Netherlands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.09
Norway,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.8
Norway,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.69
Norway,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.62
Nepal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.9
Nepal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.85
Nepal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.44
Nauru,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Nauru,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Nauru,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
New Zealand,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.3
New Zealand,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.07
New Zealand,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.55
OECD members,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.45770749373693
OECD members,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.39385384845985
OECD members,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.37963718635683
Oman,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.8
Oman,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.84
Oman,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.97
Other small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.36362222230598
Other small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.16899432512886
Other small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.4620267915104
Pakistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.08
Pakistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.98
Pakistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.65
Panama,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.89
Panama,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.74
Panama,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.23
Peru,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.18
Peru,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.03
Peru,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.24
Philippines,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.34
Philippines,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.24
Philippines,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.36
Palau,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Palau,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Palau,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Papua New Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.41
Papua New Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.37
Papua New Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.74
Poland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.85
Poland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.28
Poland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.55
Pre-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.82248468671304
Pre-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.79679672279942
Pre-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.20722696064245
Puerto Rico,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.2
Puerto Rico,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.3
Puerto Rico,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.17
"Korea, Dem. People's Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.66
"Korea, Dem. People's Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.62
"Korea, Dem. People's Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.81
Portugal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.99
Portugal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.46
Portugal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.2
Paraguay,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.56
Paraguay,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.6
Paraguay,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.61
West Bank and Gaza,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,26.26
West Bank and Gaza,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,25.34
West Bank and Gaza,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,27.35
Pacific island small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.73621425104196
Pacific island small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.67829524662537
Pacific island small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.10680538428914
Post-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.28364899528676
Post-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.95838474891878
Post-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.95768546258796
French Polynesia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.59
French Polynesia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,12.72
French Polynesia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.81
Qatar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,0.11
Qatar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.12
Qatar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.45
Romania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.19
Romania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.91
Romania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.84
Russian Federation,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.85
Russian Federation,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.6
Russian Federation,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.73
Rwanda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.02
Rwanda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.99
Rwanda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,1.35
South Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.10210975678172
South Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.03648259157799
South Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.62507641718098
Saudi Arabia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.04
Saudi Arabia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.13
Saudi Arabia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.22
Sudan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,16.87
Sudan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,16.76
Sudan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,17.71
Senegal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.53
Senegal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.47
Senegal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.1
Singapore,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.65
Singapore,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.1
Singapore,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.19
Solomon Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,0.62
Solomon Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.6
Solomon Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,0.79
Sierra Leone,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.42
Sierra Leone,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.36
Sierra Leone,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.6
El Salvador,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.01
El Salvador,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.96
El Salvador,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.98
San Marino,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
San Marino,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
San Marino,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Somalia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.89
Somalia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,12.79
Somalia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.1
Serbia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.73
Serbia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.4
Serbia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.08
Sub-Saharan Africa (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.2338611001282
Sub-Saharan Africa (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.27682799648702
Sub-Saharan Africa (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.62907378161816
South Sudan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.1
South Sudan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,12.01
South Sudan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,12.66
Sub-Saharan Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.2338611001282
Sub-Saharan Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.27682799648702
Sub-Saharan Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.62907378161816
Small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.92529420370726
Small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.64475496502825
Small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.98290077950529
Sao Tome and Principe,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,13.14
Sao Tome and Principe,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,13.05
Sao Tome and Principe,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.86
Suriname,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7
Suriname,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.94
Suriname,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.65
Slovak Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.54
Slovak Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.75
Slovak Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.79
Slovenia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.11
Slovenia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.45
Slovenia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.17
Sweden,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.37
Sweden,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.83
Sweden,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.45
Eswatini,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,22.37
Eswatini,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,22.24
Eswatini,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,23.4
Sint Maarten (Dutch part),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Sint Maarten (Dutch part),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Sint Maarten (Dutch part),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Seychelles,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Seychelles,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Seychelles,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Syrian Arab Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.23
Syrian Arab Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.16
Syrian Arab Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.03
Turks and Caicos Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Turks and Caicos Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Turks and Caicos Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Chad,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.89
Chad,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.91
Chad,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.26
East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.81107657501488
East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.95744770778883
East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.41264564554665
Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.66834216466757
Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.79610619022392
Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.57094637025737
Togo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.66
Togo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.6
Togo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.05
Thailand,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,0.77
Thailand,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.72
Thailand,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,1.02
Tajikistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.72
Tajikistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.66
Tajikistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.5
Turkmenistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.79
Turkmenistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.74
Turkmenistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.38
Latin America & the Caribbean (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.05483587196171
Latin America & the Caribbean (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.08681666529731
